"first_name","last_name","email"
"Sandra","Martin","sandra.martin@sakilacustomer.org"
"Judith","Cox","judith.cox@sakilacustomer.org"
"Sheila","Wells","sheila.wells@sakilacustomer.org"
"Erica","Matthews","erica.matthews@sakilacustomer.org"
"Heidi","Larson","heidi.larson@sakilacustomer.org"
"Penny","Neal","penny.neal@sakilacustomer.org"
"Kenneth","Gooden","kenneth.gooden@sakilacustomer.org"
"Harry","Arce","harry.arce@sakilacustomer.org"
"Nathan","Runyon","nathan.runyon@sakilacustomer.org"
"Theodore","Culp","theodore.culp@sakilacustomer.org"
"Maurice","Crawley","maurice.crawley@sakilacustomer.org"
"Ben","Easter","ben.easter@sakilacustomer.org"
"Christian","Jung","christian.jung@sakilacustomer.org"
"Jimmie","Eggleston","jimmie.eggleston@sakilacustomer.org"
"Terrance","Roush","terrance.roush@sakilacustomer.org"
